Codigo,Código Barra 1,Código Barra 2,Producto nombre 1,Producto nombre 2,precio por caja,precio por paquete,Categoria,creador
SD41647,6942349741647,,SADOER有机牛油果净颜洁面乳（新）100g,Limpiador Facial de Aguacate Orgánico De 100g,950.000,1150.000,洗面奶,
SD41623,6942349741623,,SADOER有机牛油果保湿爽肤水（新）130ml,Tónico Hidratante De Aguacate Orgánico De 130ml,1650.000,2000.000,爽肤水,
SD77998,6942349777998,,SADOER70%大米精华美白爽肤水120ml,Tónico Blanquedaro con 700% De Extracto de Arroz De 120ml,1650.000,2000.000,爽肤水,
BQY86563,6942349786563,,BIOAQUA重组III型胶原蛋白焕活爽肤水130ml,Tónico Revitalizante Con Colágeno Recombinante Tipo 3 De 130ml,1800.000,2200.000,爽肤水,
SD81189,6976504681189,,SADOER水果冰激凌手霜系列30g+30g+30g+30g+30g,Set De Cremas De Manos Hidratantes Perfumadas De 5pcs,1500.000,1800.000,手霜,
SD58598,6976068958598,,SADOER缤纷花果护手霜套装(新)30g+30g+30g+30g+30g,Set De Cremas De Manos Hidratantes Perfumadas De 5pcs,1200.000,1450.000,手霜,
SD15020,6942349715020,,SADOER水果植萃香氛护手霜套装新30g+30g*2pcs+30g*2pcs,Set De Cremas De Manos Hidratantes Perfumadas De 5pcs,1200.000,1450.000,手霜,
SD18649,6942349718649,,SADOER缤纷果萃滋养修护防干裂手霜套装30g+30gx2pcs+30gx2pcs,Set De Cremas De Manos Hidratantes Con Aroma Frutal De 5pcs,1200.000,1450.000,手霜,
SD40749,6942349740749,,SADOER香水香氛滋润护手霜5件套30g+30g+30g+30g+30g,Set De Cremas De Manos Hidratantes Perfumadas De 5pcs,1200.000,1450.000,手霜,
SD78292,6942349778292,,SADOER花香保湿再生护手霜套装（蝴蝶系列)30g*4绿色,Set De Cremas De Manos Hidratantes Con Aroma Floral De 4pcs,1500.000,1800.000,手霜,
